boosts,damageDealt,DBNOs,kills,killStreaks,longestKill,walkDistance,weaponsAcquired
7,1120.0,8,14,3,112.5,3503.0,8
6,1563.0,10,13,3,270.3,3723.0,7
11,817.0,0,9,2,157.4,2396.0,4
8,623.7,4,7,2,101.3,2539.0,3
5,1036.0,7,6,2,75.61,3226.0,10
1,695.3,6,6,3,59.64,3205.0,4
2,784.5,0,7,1,105.0,3357.0,3
7,714.4,4,7,2,93.72,2728.0,6
3,689.9,2,8,2,61.58,3355.0,4
5,634.5,4,6,2,75.09,3022.0,4
6,792.2,6,6,3,205.2,3245.0,7
1,509.5,3,5,2,186.9,2801.0,6
9,1028.0,7,9,2,235.8,1771.0,4
0,886.5,9,7,2,55.74,2587.0,7
3,1228.0,0,12,2,99.01,3293.0,4
2,1039.0,6,8,2,175.4,2522.0,5
4,845.7,4,6,1,70.45,3260.0,5
3,1008.0,6,9,2,231.7,5568.0,4
7,542.0,3,7,2,177.9,3642.0,7
6,873.1,3,9,2,73.21,3414.0,2
4,539.4,5,7,3,209.5,1942.0,6
2,330.5,4,5,3,183.2,2833.0,4
8,546.6,4,7,2,174.0,3975.0,7
3,551.4,3,6,2,222.1,3757.0,6
2,738.9,8,9,3,60.62,2229.0,8
7,708.3,4,7,2,92.38,4117.0,5
4,2325.0,13,21,2,192.1,2697.0,5
5,875.5,5,8,4,231.3,2057.0,7
4,581.1,2,5,2,171.7,4247.0,4
7,1240.0,7,14,2,150.1,2570.0,6
9,907.2,0,8,2,87.83,3092.0,4
4,497.0,2,6,2,417.0,1656.0,8
3,489.9,4,6,3,49.65,3167.0,4
8,757.1,4,9,2,190.8,2654.0,4
5,760.3,0,8,1,100.7,2890.0,4
9,800.5,0,8,1,61.63,3822.0,5
10,719.1,0,8,3,225.3,1683.0,5
6,970.3,0,9,1,66.12,3038.0,10
6,780.5,4,7,2,85.44,3303.0,5
5,547.0,0,6,2,85.36,2405.0,3
11,599.7,3,5,1,48.82,3257.0,9
1,394.4,1,4,1,29.76,3454.0,4
5,1357.0,8,13,2,372.3,3421.0,6
6,1145.0,1,8,2,71.32,2643.0,5
5,1093.0,8,9,3,177.4,3175.0,4
3,864.0,6,11,3,105.6,1960.0,4
8,722.0,0,6,1,68.71,1658.0,4
9,940.1,0,9,2,158.5,2577.0,12
3,548.5,3,6,2,58.02,3825.0,6
10,894.2,4,6,2,125.5,3464.0,5
5,912.1,9,10,3,24.64,2727.0,4
2,896.2,6,8,2,124.5,3080.0,5
3,450.7,4,6,2,114.6,3089.0,4
5,771.9,2,8,2,223.1,4250.0,3
4,569.3,6,8,3,74.73,3342.0,3
8,1502.0,0,13,2,138.2,2586.0,5
6,931.0,4,7,3,76.93,3980.0,4
4,899.7,8,10,2,57.27,3083.0,5
1,519.2,5,6,3,68.91,1502.0,5
5,689.0,0,7,1,52.91,3300.0,3
5,582.5,4,7,2,85.58,2464.0,5
5,1313.0,7,11,3,107.2,2472.0,7
5,313.2,3,5,2,11.74,2462.0,6
11,2033.0,13,17,2,327.7,3235.0,8
7,729.2,5,8,2,86.32,2971.0,5
6,635.8,5,8,2,79.78,3490.0,6
4,857.5,7,8,2,230.1,2235.0,5
2,777.8,4,6,2,57.27,2187.0,6
2,775.1,4,6,1,98.04,2126.0,6
8,861.9,4,7,2,36.83,1934.0,6
5,956.8,0,8,1,197.0,1530.0,8
3,632.8,3,8,2,99.4,1172.0,4
3,811.3,5,7,2,93.01,2934.0,4
4,765.6,6,8,3,90.91,1917.0,5
10,912.7,0,10,2,36.49,1561.0,8
7,794.4,5,9,2,149.7,3892.0,6
5,569.3,5,9,3,141.6,4460.0,9
4,916.7,6,7,3,49.74,2625.0,4
1,1230.0,7,8,1,320.3,2651.0,7
7,753.6,3,7,2,81.72,2955.0,6
2,392.8,3,5,1,67.46,3266.0,4
7,933.3,7,8,2,108.1,2987.0,9
5,881.9,6,9,2,97.36,3107.0,6
3,935.8,5,7,2,136.0,1768.0,6
4,791.7,4,8,3,81.42,3461.0,3
3,624.4,5,6,2,173.5,3102.0,9
2,774.7,4,7,5,167.3,3192.0,7
3,623.8,2,6,2,168.5,2607.0,5
3,643.2,8,8,3,162.9,1965.0,12
3,716.4,5,7,3,74.22,3388.0,6
2,780.4,4,7,2,105.3,3804.0,7
1,620.9,2,5,2,38.54,2208.0,4
6,751.9,4,9,2,241.7,2747.0,5
6,885.5,8,10,3,159.1,2975.0,7
7,963.6,0,9,1,402.0,2861.0,9
11,1077.0,7,10,3,117.5,3090.0,7
4,782.5,6,10,3,58.59,2236.0,4
6,794.8,4,6,3,51.09,3001.0,6
7,949.2,0,5,1,237.0,1357.0,9
4,916.3,2,5,2,143.4,2617.0,7
3,364.4,0,4,1,101.8,2468.0,2
0,991.1,7,9,6,0.8649,2288.0,5
7,925.5,6,9,3,75.7,2744.0,8
3,1047.0,6,10,3,104.6,3243.0,5
6,580.4,4,6,2,68.61,2871.0,8
6,1169.0,6,11,2,232.1,2321.0,8
10,620.7,0,6,2,193.3,2055.0,6
8,1227.0,9,13,4,266.5,4035.0,4
3,755.2,7,7,2,63.49,3575.0,6
3,460.2,2,4,1,276.1,5327.0,7
13,590.5,3,5,2,150.3,1763.0,3
2,580.5,4,8,2,412.3,3641.0,5
5,702.4,0,7,2,115.1,3253.0,5
2,1090.0,8,10,3,57.54,1777.0,4
3,945.7,5,8,2,134.4,2756.0,5
3,1053.0,3,10,2,126.0,2584.0,5
5,626.7,3,6,2,33.59,3626.0,3
9,814.7,7,8,2,267.8,2590.0,8
5,854.7,0,11,1,209.8,2778.0,9
6,455.8,5,5,3,35.48,2812.0,6
3,1179.0,0,11,2,106.1,2329.0,6
4,629.8,3,7,2,130.1,2280.0,5
5,653.2,6,7,2,59.79,3794.0,5
3,515.2,4,5,3,75.06,2972.0,7
8,1029.0,5,8,1,24.84,2519.0,7
6,922.4,5,9,2,49.69,2403.0,8
6,851.9,6,8,3,102.1,2896.0,4
3,519.4,5,8,1,60.61,2725.0,6
2,711.1,3,7,2,94.6,2141.0,5
4,591.2,2,6,2,115.2,2163.0,5
2,1102.0,7,11,3,182.0,3820.0,4
7,617.4,2,6,2,100.2,2256.0,9
7,1241.0,5,10,2,170.3,3709.0,6
9,1191.0,7,11,2,195.8,3369.0,8
0,1205.0,5,13,4,33.43,1153.0,1
10,1152.0,8,13,4,74.74,3937.0,3
